Year,Total Revenue,Net Income,Total Assets,Total Liabilities,Cash Flow from Operating Activities,Company
2023,211915,72361,411976,205753,87582,Microsoft
2022,198270,72738,364840,198298,89035,Microsoft
2021,168088,61271,333779,191791,76740,Microsoft
2023,96773,14974,106618,43009,13256,Tesla
2022,81462,12556,82338,36440,14724,Tesla
2021,53821,5519,62131,30548,11497,Tesla
2023,383285,96995,352583,290437,110543,Apple
2022,394328,99803,352755,302083,122151,Apple
2021,365817,94680,351002,287912,104038,Apple
